Closure ID,Source Batch,Source Image ID,Previous Status,No-Pay Status,Manifest Action,Priority,Image Need Category,Crop / System,Subject / Process,Visible Cue / Target Cue,Existing File / Source Record,Source Type,Original Source URL,License,Commercial Use Allowed?,Modification Allowed?,Attribution Required?,Rights / Production Risk,Recommended Manuscript Treatment,Self-Photo Opportunity?,Caption / Label Action,Reason for Closure Decision,Verification Still Needed,Search Terms / Rejected Alternatives,Notes
B30_001,B26_AbioticRootSoilWater_PestLifecycle,B26_01,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Abiotic stress and lookalikes,Pepper,Sunscald on exposed fruit,Large pale sunken/bleached patch on exposed bell pepper fruit,LSE_FOUND_B26_ABIOTIC_Pepper_Sunscald_ExposedFruit_DonFerrin_Bugwood_CC-BY-3.jpg,Wikimedia / Bugwood,https://commons.wikimedia.org/wiki/File:5411486-PPT-Suncald_on_exposed_bell_pepper_fruit.jpg,Creative Commons Attribution 3.0,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not imply every pale fruit lesion is sunscald; note exposure history and canopy loss.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final caption/pathology review before layout.,pepper sunscald fruit CC BY Bugwood; bell pepper sunscald exposed fruit Wikimedia | Rejected: Tomato sunscald Bugwood/invasive.org result not downloaded because direct exact image page/access was unreliable in this pass.,Strong candidate for abiotic lookalike set.
B30_002,B26_AbioticRootSoilWater_PestLifecycle,B26_02,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Abiotic stress and lookalikes,Tomato,Fruit cracking / irregular water uptake cue,Cracked ripe tomato fruit,LSE_FOUND_B26_ABIOTIC_Tomato_FruitCracking_IrregularIrrigationCue_Fructibus_CC0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Cracked_tomato_2017_C.jpg,CC0 1.0,Yes,Yes,No,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not state that irregular irrigation is the only cause.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final horticulture caption review.,cracked tomato fruit CC0; tomato fruit cracking Wikimedia Commons | Rejected: Generic harvested tomato photos without diagnostic cracking rejected.,Good harvest/abiotic failure-mode candidate.
B30_003,B26_AbioticRootSoilWater_PestLifecycle,B26_03,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,Medium,Abiotic stress and lookalikes,Tomato,Catfacing / physiological fruit deformity,Deeply distorted tomato blossom-end scar / catface deformity,LSE_FOUND_B26_ABIOTIC_Tomato_Catfacing_FruitDeformity_ParthasarathySeethapathy_CC-BY-SA-4.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Cat_face_of_tomato.jpg,Creative Commons Attribution-ShareAlike 4.0,Yes,Yes,Yes,ShareAlike production review needed,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,Avoid attributing to heat alone; multiple weather and flower-development stresses can contribute.,"Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",Confirm ShareAlike handling and final horticulture wording. | ShareAlike/GFDL production compatibility review required.,tomato catfacing CC BY-SA; cat face of tomato Wikimedia | Rejected: Stock-like deformity photos without license clarity rejected.,Potential inset in fruit-disorder plate.
B30_004,B26_AbioticRootSoilWater_PestLifecycle,B26_04,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,Medium,Abiotic / physical damage,Tomato,Hail injury / storm damage,Hail-damaged tomato plants with broken foliage/stems and fruit damage,LSE_FOUND_B26_ABIOTIC_Tomato_HailDamage_BruisedBrokenStems_DwightSipler_CC-BY-2.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Hail_Damage_on_Tomatoes.jpg,Creative Commons Attribution 2.0,Yes,Yes,Yes,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Use only where storm context is explicit; do not diagnose from torn leaves alone.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final caption review.,hail damage tomatoes CC BY Wikimedia; tomato hail damage photo Creative Commons | Rejected: Generic storm-damaged plant photos with unclear crop context rejected.,Useful North Texas storm-cycle failure-mode photo.
B30_005,B26_AbioticRootSoilWater_PestLifecycle,B26_05,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Root and hidden-cause diagnostics,Container / transplant roots,Rootbound transplant / circling roots,Dense circling roots around a containerized root ball,LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Root_bound_palm_tree.jpg,CC0 1.0,Yes,Yes,No,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not label as vegetable crop roots; source host is palm.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Decide whether host mismatch is acceptable for final placement.,rootbound transplant roots CC0; circling roots container plant Wikimedia | Rejected: Extension rootbound vegetable images with unclear reuse rights rejected.,"May be better than no photo for rootbound diagnosis, but a vegetable-specific replacement would be preferable."
B30_006,B26_AbioticRootSoilWater_PestLifecycle,B26_06,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Root and hidden-cause diagnostics,Tomato,Root-knot nematode galling,Galled tomato root system,LSE_FOUND_B26_ROOTS_Tomato_RootKnotNematode_GalledRoots_PlantPestsDiseases_CC0.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Tomato_(Solanum_lycopersicum)-_Root_knot_nematodes_-_27421750599.jpg,CC0 1.0,Yes,Yes,No,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not state that all root swellings are root-knot; distinguish from nodules and other root deformities.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final nematology caption review.,Meloidogyne incognita tomato root gall CC0; tomato root-knot nematode galled roots Wikimedia | Rejected: Generic root-knot images on non-vegetable hosts rejected or deprioritized.,Strong root-diagnostics candidate.
B30_007,B26_AbioticRootSoilWater_PestLifecycle,B26_07,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,"Compost, mulch, soil structure, and organic matter",Compost / food-waste compost,"Compost maturity, temperature, and contamination inspection",People checking compost temperature and inspecting harvested food-waste compost for non-decomposed contaminants,LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg,USDA,https://www.ars.usda.gov/oc/images/photos/sep09/d1635-8/,USDA ARS public domain / copyright-free unless otherwise indicated N/A,Yes,Yes,No legally required; ARS credit requested,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not present as a home-scale pile unless caption specifies source context.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Commercial layout review for identifiable people; final credit line.,USDA ARS compost temperature inspection D1635-8; compost contamination inspection USDA photo | Rejected: Generic compost pile photos without maturity/contamination cue rejected.,Best found compost QC photo in this batch.
B30_008,B26_AbioticRootSoilWater_PestLifecycle,B26_08,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,"Compost, mulch, soil structure, and organic matter",Soil structure / aggregate stability,Aggregate stability / slake comparison,Side-by-side soil aggregate stability comparison in water,LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg,USDA / Wikimedia mirror,https://commons.wikimedia.org/wiki/File:The_Bundled_Benefits_of_Soil_Health_11.jpg,Public domain / USDA work N/A,Yes,Yes,No legally required; credit recommended,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,Do not overclaim as a complete soil-health test; it is one indicator.,No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Final soil-diagnostics caption review.,USDA aggregate stability slake test Lance Cheung; soil aggregate stability public domain photo | Rejected: Soil hand/crumb beauty shots rejected as less instructional.,Excellent process/diagnostic photo.
B30_009,B26_AbioticRootSoilWater_PestLifecycle,B26_09,Use candidate,Use Candidate,Keep in active candidate pool — not final cleared,High,Water management and irrigation,Drip irrigation / root-zone water,Subsurface drip wetting pattern,Soil wetting pattern and water-content measurement probes around subsurface drip irrigation,LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg,USDA,https://www.ars.usda.gov/oc/images/photos/apr08/d1094-1/,USDA ARS public domain / copyright-free unless otherwise indicated N/A,Yes,Yes,No legally required; ARS credit requested,None identified,"Use existing clean image; complete final caption, alt text, factual-label, figure-numbering, and layout review.",No,"Cotton/research context; use as process photo, not vegetable-specific layout.",No-pay usable candidate carried forward because existing metadata indicates commercial-safe/public-use/CC0/CC BY/USDA-style rights and useful instructional value.,Commercial layout review for identifiable person; final credit line.,D1094-1 drip wetting pattern USDA ARS; subsurface drip irrigation wetting pattern photo | Rejected: Generic drip line photos rejected because they do not reveal wetting front.,Strong water-management process photo.
B30_010,B26_AbioticRootSoilWater_PestLifecycle,B26_10,Conditional,Conditional,Keep only if production accepts obligations; otherwise substitute text/self-photo,High,Pest lifecycle and scouting gaps,Cucurbits / pumpkin/squash,Squash bug egg cluster,Bronze/brown egg cluster on underside of pumpkin leaf,LSE_FOUND_B26_PEST_SquashBug_EggCluster_UndersidePumpkinLeaf_Bdm25_CC-BY-SA-4.jpg,Wikimedia,https://commons.wikimedia.org/wiki/File:Squash_bug_eggs.jpg,Creative Commons Attribution-ShareAlike 4.0,Yes,Yes,Yes,ShareAlike production review needed,Conditional image; do not final-clear until ShareAlike/GFDL/caption/host mismatch/review issue is resolved.,No,Do not identify as Anasa tristis with certainty unless a reviewer accepts the source/title evidence.,"Image remains useful but carries ShareAlike/GFDL, host/crop mismatch, resolution, or provenance/caption review risk.",Entomology/source-ID review and ShareAlike production review. | ShareAlike/GFDL production compatibility review required.,squash bug eggs CC BY-SA pumpkin leaf; Anasa tristis egg cluster Wikimedia | Rejected: Lower-resolution source-confirmed Anasa tristis egg image also included as B26_11.,High-resolution but ID nuance.
