Image ID,Batch,Image need category,Priority: High / Medium / Low,Crop / system,Pest / disease / disorder / process,"Scientific name, if applicable",Visible cue shown,Why this image is useful,Recommended manuscript use,Chapter / entry placement,Current coverage gap filled,File name,Folder path,Source type: USDA / Government / Extension / Bugwood / Wikimedia / Journal / Other,Original source page URL,Direct image file URL,"Secondary mirror URL, if used",Repository / hosting site,Creator / photographer,Rights holder / source organization,Catalog ID / image ID,Image title on source page,Source-stated subject ID,Source-stated crop / host,Source-stated organism / disease / disorder,ID confidence: High / Medium / Low / VERIFY,License name,License version,License URL,Commercial use allowed? Yes / No / VERIFY,Modification/cropping allowed? Yes / No / VERIFY,Attribution required? Yes / No / VERIFY,Exact attribution text,Credit line draft,Special restrictions,ShareAlike / GFDL / NC / ND risk,Contains identifiable person? Yes / No,Contains watermark/catalog ID? Yes / No,Resolution / pixel dimensions,Image quality: Excellent / Good / Marginal / Reject,Instructional value score 0–5,Diagnostic clarity score 0–5,Rights confidence score 0–5,Overall recommendation: Use candidate / Conditional / Hold / Reject / No suitable found photo,Reason for recommendation,Caption draft,Alt text draft,Caption safety notes,Factual-label risk,Verification still needed,Search terms tried,Rejected alternatives reviewed,Notes
B29_01,Batch 29 PermissionCommission,Vegetable-specific fertilizer / salt burn,High,Container herbs / vegetables,soluble salt buildup,,White soluble salt crust around container drainage holes,Clean-rights container salt-buildup cue; strongest legal replacement for salt/fertilizer visual.,Found-photo candidate / permission target / commission shot list,Container herbs; input safety; abiotic lookalikes,Vegetable-specific fertilizer / salt burn,LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg,01_Use_Candidates/LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/18-plants-grown-in-containers,https://content.ces.ncsu.edu/media/images/17-salt_build-up_on_plastic_pot_dianemays_ccby20.jpg,,Extension,Diane Mays,NC State Extension,Figure 18-13,Soluble salts build up on containers,salt buildup near drainage holes,container,Soluble salt buildup,High,CC BY,2.0,https://creativecommons.org/licenses/by/2.0/,Yes,Yes,Yes,Photo: Diane Mays / NC State Extension. CC BY 2.0.,Photo: Diane Mays / NC State Extension. CC BY 2.0.,No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,600 x 450,Good,5,4,5,Use candidate,"Clean CC BY and source-confirmed; not a leaf scorch photo, but directly shows salt residue cue.","Source-identified soluble salt buildup around container drainage holes. Use as a container salt cue, not as standalone proof of leaf injury.",White salt residue around drainage holes on a plastic pot.,Pair with fertilizer/irrigation history.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_02,Batch 29 PermissionCommission,Clean-rights North Texas-style practical setup photos,Medium,Container herbs / vegetables,container watering setup,,Reservoir/headspace measured after watering,Teaches physical container watering setup.,Found-photo candidate / permission target / commission shot list,Container/barrel herb garden setup,Clean-rights North Texas-style practical setup photos,LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg,01_Use_Candidates/LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/18-plants-grown-in-containers,https://content.ces.ncsu.edu/media/images/17-reservior_kathleen_moore_ccby20.jpg,,Extension,Kathleen Moore,NC State Extension,Figure 18-9,Reservoir space is measured after initial watering,reservoir space,container,Container watering reservoir,High,CC BY,2.0,https://creativecommons.org/licenses/by/2.0/,Yes,Yes,Yes,Photo: Kathleen Moore / NC State Extension. CC BY 2.0.,Photo: Kathleen Moore / NC State Extension. CC BY 2.0.,No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,450 x 600,Good,4,4,5,Use candidate,Clean CC BY setup photo.,Reservoir space above container media after watering. Leaving headspace helps water soak in without spilling over.,Ruler measuring space between soil and pot rim.,Use as setup photo only.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_03,Batch 29 PermissionCommission,Clean-rights North Texas-style practical setup photos,Medium,Small-space vegetables/herbs,container production setup,,Outdoor containers with vegetables and herbs,Real small-space setup with containers and scale.,Found-photo candidate / permission target / commission shot list,Small-space herb/container setup,Clean-rights North Texas-style practical setup photos,LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg,01_Use_Candidates/LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/18-plants-grown-in-containers,https://content.ces.ncsu.edu/media/images/17-outdoorcontainer_lucybradley_ccby20.jpg,,Extension,Lucy Bradley,NC State Extension,Figure 18-2,Vegetables and herbs in outdoor containers,outdoor container herbs/vegetables,container/small space,Small-space container setup,High,CC BY,2.0,https://creativecommons.org/licenses/by/2.0/,Yes,Yes,Yes,Photo: Lucy Bradley / NC State Extension. CC BY 2.0.,Photo: Lucy Bradley / NC State Extension. CC BY 2.0.,No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,600 x 448,Good,4,3,5,Use candidate,Clean CC BY; not North Texas-specific.,"Vegetables and herbs in outdoor containers. Adapt volume, irrigation and afternoon shade to North Texas heat.",Outdoor containers with herb and vegetable plants.,Do not imply exact setup is sufficient for DFW summer.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_04,Batch 29 PermissionCommission,Herbicide drift with commercial-safe rights,High,Tomato,growth-regulator herbicide residue/injury,,"Downward cupping, epinasty, distorted new growth",Source-confirmed tomato injury; VCE allows public use/reprint/citation with credit.,Found-photo candidate / permission target / commission shot list,Tomato profile; abiotic disorder atlas,Herbicide drift with commercial-safe rights,LSE_FOUND_B29_ABIOTIC_Tomato_HerbicideResidue_CuppedNewGrowth_VCE_PublicUse.jpg,01_Use_Candidates/LSE_FOUND_B29_ABIOTIC_Tomato_HerbicideResidue_CuppedNewGrowth_VCE_PublicUse.jpg,Extension,https://www.pubs.ext.vt.edu/PPWS/PPWS-77/PPWS-77.html,https://www.pubs.ext.vt.edu/content/pubs_ext_vt_edu/en/PPWS/PPWS-77/PPWS-77/_jcr_content/content/adaptiveimage_1122782843.transform/m-medium/image.jpg,,Extension,Rachel Bynum and Eric Plaksin,Virginia Cooperative Extension / Virginia Tech,Figure 2,Tomato downward leaf cupping/epinasty from herbicide residue,growth regulator herbicide injury,tomato,Herbicide residue injury,High,VCE public use/reprint/citation statement,,https://www.pubs.ext.vt.edu/PPWS/PPWS-77/PPWS-77.html,Yes,Yes/VERIFY,Yes,"Photo: Rachel Bynum and Eric Plaksin; credit Virginia Cooperative Extension, Virginia Tech, and Virginia State University.","Photo: Rachel Bynum and Eric Plaksin; credit Virginia Cooperative Extension, Virginia Tech, and Virginia State University.",No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,800 x 560,Good,5,5,4,Use candidate,Commercial-safe under VCE public-use statement; final figure-level review still needed.,"Source-identified tomato injury from growth-regulator herbicide residue. Cupped new growth is a clue, not a standalone diagnosis.","Tomato plant with cupped, twisted new leaves.",Require exposure history and pattern check.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_05,Batch 29 PermissionCommission,Herbicide drift with commercial-safe rights,High,Snap bean,growth-regulator herbicide injury,,"Stunting, epinasty, swollen stems",Source-confirmed bean herbicide injury.,Found-photo candidate / permission target / commission shot list,Bean profile; abiotic disorder atlas,Herbicide drift with commercial-safe rights,LSE_FOUND_B29_ABIOTIC_Bean_HerbicideInjury_EpinastySwollenStems_VCE_PublicUse.jpg,01_Use_Candidates/LSE_FOUND_B29_ABIOTIC_Bean_HerbicideInjury_EpinastySwollenStems_VCE_PublicUse.jpg,Extension,https://www.pubs.ext.vt.edu/PPWS/PPWS-77/PPWS-77.html,https://www.pubs.ext.vt.edu/content/pubs_ext_vt_edu/en/PPWS/PPWS-77/PPWS-77/_jcr_content/content/adaptiveimage_176799.transform/m-medium/image.jpg,,Extension,Elizabeth Bush,Virginia Cooperative Extension / Virginia Tech,Figure 4,"Stunting, epinasty, and swollen stems of snap bean",growth regulator herbicide injury,snap bean,Herbicide injury,High,VCE public use/reprint/citation statement,,https://www.pubs.ext.vt.edu/PPWS/PPWS-77/PPWS-77.html,Yes,Yes/VERIFY,Yes,"Photo: Elizabeth Bush; credit Virginia Cooperative Extension, Virginia Tech, and Virginia State University.","Photo: Elizabeth Bush; credit Virginia Cooperative Extension, Virginia Tech, and Virginia State University.",No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,800 x 566,Good,5,5,4,Use candidate,Commercial-safe under VCE public-use statement; final figure-level review still needed.,Source-identified snap bean injury from growth-regulator herbicide. Use stem swelling and epinasty as exposure-history clues.,Snap bean plant with distorted stems and leaves.,Do not imply all bean distortion is herbicide.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_06,Batch 29 PermissionCommission,Herbicide drift with commercial-safe rights,Medium,Squash / cucurbits,herbicide residue in straw mulch,,"Field-scale wilting, epinasty, twisting",Shows pattern across mulched squash crop.,Found-photo candidate / permission target / commission shot list,Cucurbit profile; contaminated mulch/compost warning,Herbicide drift with commercial-safe rights,LSE_FOUND_B29_ABIOTIC_Squash_HerbicideResidue_FieldEpinastyTwisting_VCE_PublicUse.jpg,01_Use_Candidates/LSE_FOUND_B29_ABIOTIC_Squash_HerbicideResidue_FieldEpinastyTwisting_VCE_PublicUse.jpg,Extension,https://www.pubs.ext.vt.edu/PPWS/PPWS-77/PPWS-77.html,https://www.pubs.ext.vt.edu/content/pubs_ext_vt_edu/en/PPWS/PPWS-77/PPWS-77/_jcr_content/content/adaptiveimage.transform/m-medium/image.jpg,,Extension,Rachel Bynum and Eric Plaksin,Virginia Cooperative Extension / Virginia Tech,Figure 1,"Squash field wilting, epinasty, twisting from herbicide residue",herbicide residue injury,squash,Grazon P+D residue in straw mulch,High,VCE public use/reprint/citation statement,,https://www.pubs.ext.vt.edu/PPWS/PPWS-77/PPWS-77.html,Yes,Yes/VERIFY,Yes,"Photo: Rachel Bynum and Eric Plaksin; credit VCE, Virginia Tech, and Virginia State University.","Photo: Rachel Bynum and Eric Plaksin; credit VCE, Virginia Tech, and Virginia State University.",No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,800 x 418,Good,4,4,4,Use candidate,Useful field-pattern cue; not a close-up diagnostic.,Source-identified squash field injury from contaminated straw mulch. Similar symptoms across a mulched area should trigger exposure-history review.,"Rows of squash plants with twisted, wilted growth.",Do not present as drought wilt.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_07,Batch 29 PermissionCommission,Clean-rights North Texas-style practical setup photos,High,Vegetable beds,row cover / low tunnel,,Row-cover fabric over hoops,Real setup photo; source page explains heat/pollination caution.,Found-photo candidate / permission target / commission shot list,Row cover timing; pest exclusion,Clean-rights North Texas-style practical setup photos,LSE_FOUND_B29_PRACTICAL_RowCover_LowTunnel_FabricOverHoops_KathleenMoore_CC-BY-2.0.jpg,01_Use_Candidates/LSE_FOUND_B29_PRACTICAL_RowCover_LowTunnel_FabricOverHoops_KathleenMoore_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/appendix-e-season-extenders-and-greenhouses,https://content.ces.ncsu.edu/media/images/15-row_cover_kathleen_moor.jpg,,Extension,Kathleen Moore,NC State Extension,Figure E-2,Row cover made from polyester fabric,row cover,vegetable/season extension,Row cover / low tunnel,High,CC BY,2.0,https://creativecommons.org/licenses/by/2.0/,Yes,Yes,Yes,Photo: Kathleen Moore / NC State Extension. CC BY 2.0.,Photo: Kathleen Moore / NC State Extension. CC BY 2.0.,No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,600 x 450,Good,5,4,5,Use candidate,Clean CC BY; strong practical setup photo.,"Row cover over a low tunnel. In North Texas, use for frost/insect exclusion but remove or ventilate at the correct heat and pollination windows.",Fabric row cover over hoops with plants underneath.,Include heat buildup and pollination caveats.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_08,Batch 29 PermissionCommission,Clean-rights North Texas-style practical setup photos,Medium,Vegetable beds,high tunnel / hoop house,,High tunnel with side/entry open,Real protected-structure setup; teaches ventilation context.,Found-photo candidate / permission target / commission shot list,Hoop house/high tunnel systems,Clean-rights North Texas-style practical setup photos,LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg,01_Use_Candidates/LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/appendix-e-season-extenders-and-greenhouses,https://content.ces.ncsu.edu/media/images/15-high_tunnel_kathleen_moore.jpg,,Extension,Kathleen Moore,NC State Extension,Figure E-4,A high tunnel is tall enough for a gardener to walk in,high tunnel,vegetable/season extension,High tunnel,High,CC BY,2.0,https://creativecommons.org/licenses/by/2.0/,Yes,Yes,Yes,Photo: Kathleen Moore / NC State Extension. CC BY 2.0.,Photo: Kathleen Moore / NC State Extension. CC BY 2.0.,No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,450 x 600,Good,4,4,5,Use candidate,Clean CC BY; not North Texas-specific.,"High tunnel with open side and vegetable crops. In hot climates, ventilation planning is as important as frost protection.",High tunnel beside leafy vegetable crops.,Do not imply sealed summer use is safe.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_09,Batch 29 PermissionCommission,Clean-rights North Texas-style practical setup photos,Medium,Herbs and lettuce,cold frame / winter protection,,Herbs and lettuce inside open cold frame,Useful small-space winter-protection setup for herbs and greens.,Found-photo candidate / permission target / commission shot list,Herb garden; cool-season protection,Clean-rights North Texas-style practical setup photos,LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg,01_Use_Candidates/LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/appendix-e-season-extenders-and-greenhouses,https://content.ces.ncsu.edu/media/images/15-herbs_and_lettuce_in_coldframe_-_chris_alberti.jpg,,Extension,Chris Alberti,NC State Extension,Figure E-3,Herbs and lettuce growing in a cold frame,herbs and lettuce in cold frame,herbs/lettuce,Cold frame setup,High,CC BY,2.0,https://creativecommons.org/licenses/by/2.0/,Yes,Yes,Yes,Photo: Chris Alberti / NC State Extension. CC BY 2.0.,Photo: Chris Alberti / NC State Extension. CC BY 2.0.,No final clearance. Preserve source attribution and verify actual production use.,None identified,No,No,400 x 600,Good,4,4,5,Use candidate,Clean CC BY; useful real setup.,Herbs and lettuce in an open cold frame. Vent on warm sunny days and avoid trapping excess moisture.,Open cold frame with herbs and lettuce.,Address overheating and moisture management.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
B29_10,Batch 29 PermissionCommission,Waterlogging / root rot / root-zone failure,Medium,Container transplants,rootbound / girdled roots,,Dense circling/girdled roots,Hidden root-zone failure cue; host mismatch and ShareAlike review needed.,Found-photo candidate / permission target / commission shot list,Container/transplant root-zone warning,Waterlogging / root rot / root-zone failure,LSE_FOUND_B29_ROOTS_ContainerRootbound_GirdledRoots_BrendanLandis_CC-BY-SA-2.0.jpg,02_Conditional_Rights_Review/LSE_FOUND_B29_ROOTS_ContainerRootbound_GirdledRoots_BrendanLandis_CC-BY-SA-2.0.jpg,Extension,https://content.ces.ncsu.edu/extension-gardener-handbook/18-plants-grown-in-containers,https://content.ces.ncsu.edu/media/images/17-girdled_brendan_landis_ccbysa20.jpg,,Extension,Brendan Landis,Brendan Landis / Flickr via NC State Extension,Figure 18-3,Girdled roots often lead to stunted growth or death,girdled roots,container plant,rootbound/girdled roots,High,CC BY-SA,2.0,https://creativecommons.org/licenses/by-sa/2.0/,Yes,"Yes, but ShareAlike applies",Yes,Photo: Brendan Landis / Flickr via NC State Extension. CC BY-SA 2.0.,Photo: Brendan Landis / Flickr via NC State Extension. CC BY-SA 2.0.,No final clearance. Preserve source attribution and verify actual production use.,ShareAlike production review,No,No,452 x 600,Good,4,4,4,Conditional,ShareAlike and crop/host mismatch require production review.,"Source-identified girdled roots in a container plant. Use as a rootbound pattern cue, not a vegetable disease diagnosis.",Dense roots circling a container root ball.,Do not call it vegetable-specific root disease.,Medium until final source/caption review.,"Final rights, factual label, caption, alt-text, figure numbering and layout review.",vegetable fertilizer salt burn; waterlogged roots vegetable; tomato herbicide drift; bacterial wilt streaming test; okra stink bug pod damage; cowpea curculio larva; row cover shade cloth container garden CC BY,Decorative garden photos; stock/blog/social media; NC or ND images; vague yellowing/wilt; unverified diagnosis images.,No image is final-cleared. Use candidate is the highest status.
